OD,OD_nom,OD_lim,ID_nom,ID_lim,HT_nom,HT_lim,Permeability,A_L,PartName,PartNumber,Ae_mm2,Le_mm
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,26,82,HighFlux,58615,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,40,126,HighFlux,58616,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,60,189,HighFlux,58617,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,125,394,HighFlux,58620,360,144
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,19,48,Xflux,78067,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,26,65,Xflux,78074,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,40,100,Xflux,78073,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,60,143,Xflux,78072,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,75,187,Xflux,78069,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,90,225,Xflux,78068,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,14,35,HighFlux,58075,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,26,65,HighFlux,58074,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,40,100,HighFlux,58073,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,60,143,HighFlux,58072,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,125,312,HighFlux,58070,314,158
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,19,64,Xflux,78744,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,26,88,Xflux,78735,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,40,136,Xflux,78736,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,60,204,Xflux,78737,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,75,255,Xflux,78738,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,90,306,Xflux,78739,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,14,48,HighFlux,58734,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,26,88,HighFlux,58735,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,40,136,HighFlux,58736,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,60,204,HighFlux,58737,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,125,425,HighFlux,58740,497,184
